OBJECT_ID,Name of Museum or HC,Add1,Add2,Add3,County,Postcode
30,No. 5 Vicar's Hill,The Registry,5 Vicar's Hill,Armagh,Armagh,BT61 7ED
31,Royal Irish Fusilier's Regimental Museum,Sovereign's House,The Mall,Armagh,Armagh,BT61 9DL
32,The Enterprize Barge,Beside Waterside House,,Craigavon,Armagh,BT66 6NJ
33,Bishop Daniel Delany Museum,Brigidine Convent,,Tullow,Carlow,
34,Carlow County Museum,College Street,,Carlow,Carlow,
35,Cottage Collection and Museum,Ballynoe,Ardattin,Tullow,Carlow,
36,Tullow Museum,Bridge Street,,Tullow,Carlow,
37,Huntington Castle & Gardens,,,Clonegal,Carlow,
38,St Mullins Heritage Centre,,,St. Mullins,Carlow,
39,County Carlow Military Museum,Old Church,St. Dympna's,Athy Road,Carlow,
40,The Delany Archive,Carlow College,College Street,Carlow,Carlow,
41,Borris House,,,Borris,Carlow,
42,St Laserian's Cathedral,,,Old Leighlin,Carlow,
43,The Weavers Cottages,,,Clonegal,Carlow,
44,Ballyhugh Arts and Cultural Centre,Ballyhugh House,,Ballyconnell,Cavan,
45,Cavan County Museum,Virginia Road,,Ballyjamesduff,Cavan,
46,Museum of the Master Saddler,,,Corlough,Cavan,
47,St. Kilian's Heritage Centre,Virginia Road,,Mullagh,Cavan,
48,Bawnboy Workhouse,,,Bawnboy,Cavan,
49,The Backyard Arts Centre,Moynehall House,Moynehall,Cavan,Cavan,
50,The Cavan Burren,,,Blacklion,Cavan,
51,Bailieborough Arts and Culture Centre,Adelaide Row,,Bailieborough,Cavan,
52,Belturbet Railway Station,Railway Road,,Belturbet,Cavan,
53,Brian Boru Heritage Centre,The Bridge,,Killaloe,Clare,
54,Clare County Archives,Clare County Council,New Road,Ennis,Clare,
55,Clare Museum,Arthurs Row,Off O'Connell Square,Ennis,Clare,
56,Clare Heritage and Genealogy Centre,Church Street,,Corofin,Clare,
57,Clare Heritage and Genealogy Museum,Church Street,,Corofin,Clare,
58,Cliffs of Moher Visitor Experience,Cliffs of Moher,,Liscannor,Clare,
59,Knappogue Castle & Walled Garden,,,Quin,Clare,
60,DeValera Public Library and Gallery,Old Presbyterian Church,Harmony Row,Ennis,Clare,
61,Local Studies Centre,The Manse,Harmony Row,Ennis,Clare,
62,East Clare Heritage,St. Cronan's,,Tuamgraney,Clare,
63,The Clare Archaeology Centre,Dysert O'Dea Castle,,Corofin,Clare,
64,The Burren Centre,,,Kilfenora,Clare,
65,The Rock Shop,Derreen,,Lahinch,Clare,
66,Scattery Island Visitors Centre,Scattery Island,,Kilrush,Clare,
67,Vandeleur Walled Garden,Vandeleur Demesne,Killimer Road,Kilrush,Clare,
68,Regional Archive - Irish Traditional Music Archive,Cois na hAmhana Regional Resource Centre,Gort Road,Ennis,Clare,
69,Irish Seed Savers,Capparoe,,Scarriff,Clare,
70,Michael Cusack Centre,Carron,,The Burren,Clare,
71,Bunratty Castle Medieval Collection,Bunratty Castle,,Bunratty,Clare,
72,Bunratty Castle & Folk Park,Bunratty Castle,,Bunratty,Clare,
